Student,LPIPS,SSIM
112590021.png,0.0,1.0
112590026.png,0.235002800822258,0.6422118902978432
112590057.png,0.260399729013443,0.6354312040240788
112590035.png,0.2660595178604126,0.5969103132482747
110590456.png,0.2795575261116028,0.6349415379589257
112590052.png,0.35016322135925293,0.5291111380225184
112590060.png,0.37712225317955017,0.5902145880985359
111332012.png,0.37757739424705505,0.6004402951433705
112590023.png,0.3801315426826477,0.6132819548592562
112590038.png,0.383400022983551,0.6380403330568013
112590005.png,0.3893032968044281,0.5771970738824258
112590041.png,0.3950697183609009,0.6167577539075838
112590007.png,0.39818596839904785,0.5936282021912619
112590036.png,0.4006471633911133,0.6329602228662835
112590053.png,0.4034954905509949,0.49071635857118084
112590009.png,0.4143200218677521,0.560669276919291
112590024.png,0.41727325320243835,0.4809684189317913
110820009.png,0.42448869347572327,0.5489740223328887
112590059.png,0.4409101903438568,0.6266179839290633
112590029.png,0.4421407878398895,0.6501557308800237
112590018.png,0.44549646973609924,0.44730091258342286
112590033.png,0.45762917399406433,0.6052264342366607
112590056.png,0.46791183948516846,0.6491601263557556
113378043.png,0.4699755907058716,0.5505381217910437
112590030.png,0.4726629853248596,0.5744651662456672
112590003.png,0.4791516959667206,0.6444761080374574
110590041.png,0.504439115524292,0.6052539284390043
112590012.png,0.5051435232162476,0.6282250393491619
